image_path,jpeg_compressed,QF
data/val_dataset/film-grain-overlay.jpg,,83
data/val_dataset/00001_20.jpg,,20
data/val_dataset/00001_45.png,,43
data/val_dataset/00001_50_70_90.jpg,,50
data/val_dataset/0002.png,,96
data/val_dataset/0810_20.jpg,,20
data/val_dataset/0810_80.jpg,,80
data/val_dataset/1.jpg,,70
data/val_dataset/1e8b970f4259424bcf6c79903bb46a41.jpg,,69
data/val_dataset/8725893_PhotoCollage_1585735486638.jpg,,96
data/val_dataset/8732539_lislleyavila_2020_04_01_05_58_22_CLIQUES.jpg,,87
data/val_dataset/8782597_1F9DC2C3-A67E-4379-A1A6-A0228F939355.jpeg,,94
data/val_dataset/8828824_BodyEditor_20200329_162131317.jpg,,96
data/val_dataset/8873192_199471515.jpg,,75
data/val_dataset/9014255_hoka-mach.png,,96
data/val_dataset/desantnica.png,,73
data/val_dataset/image (14).png,,80
data/val_dataset/img_20220107_145854.png,,96
data/val_dataset/IMG_20220110_133943.png,,96
data/val_dataset/img_20220110_134535.png,,96
data/val_dataset/indus.png,,89
data/val_dataset/look.com.ua-267301.jpg,,96
data/val_dataset/low_60.jpg,,73
data/val_dataset/low_60_90_killed.jpg,,69
data/val_dataset/low_80.jpg,,50
data/val_dataset/low_90_killed.jpg,,69
data/val_dataset/olga-boyko-a-warrior-devushka-krasotka-rytsar-mech-shlem-kol.jpg,,94
data/val_dataset/ppt3.png,,91
data/val_dataset/q52.png,,55
data/val_dataset/Ref_Image_low res.jpg,,92
data/val_dataset/region.png,,87
data/val_dataset/region2.png,,96
data/val_dataset/slonik.jpg,,69
data/val_dataset/web_low_90.jpg,,55
