image_path,jpeg_compressed,QF
data/val_dataset/film-grain-overlay.jpg,False,
data/val_dataset/00001_20.jpg,True,
data/val_dataset/00001_45.png,True,
data/val_dataset/00001_50_70_90.jpg,False,
data/val_dataset/0002.png,False,
data/val_dataset/0810_20.jpg,True,
data/val_dataset/0810_80.jpg,False,
data/val_dataset/1.jpg,True,
data/val_dataset/1e8b970f4259424bcf6c79903bb46a41.jpg,False,
data/val_dataset/8725893_PhotoCollage_1585735486638.jpg,False,
data/val_dataset/8732539_lislleyavila_2020_04_01_05_58_22_CLIQUES.jpg,False,
data/val_dataset/8782597_1F9DC2C3-A67E-4379-A1A6-A0228F939355.jpeg,False,
data/val_dataset/8828824_BodyEditor_20200329_162131317.jpg,False,
data/val_dataset/8873192_199471515.jpg,False,
data/val_dataset/9014255_hoka-mach.png,False,
data/val_dataset/desantnica.png,True,
data/val_dataset/image (14).png,False,
data/val_dataset/img_20220107_145854.png,False,
data/val_dataset/IMG_20220110_133943.png,False,
data/val_dataset/img_20220110_134535.png,False,
data/val_dataset/indus.png,True,
data/val_dataset/look.com.ua-267301.jpg,False,
data/val_dataset/low_60.jpg,False,
data/val_dataset/low_60_90_killed.jpg,False,
data/val_dataset/low_80.jpg,True,
data/val_dataset/low_90_killed.jpg,False,
data/val_dataset/olga-boyko-a-warrior-devushka-krasotka-rytsar-mech-shlem-kol.jpg,False,
data/val_dataset/ppt3.png,False,
data/val_dataset/q52.png,True,
data/val_dataset/Ref_Image_low res.jpg,False,
data/val_dataset/region.png,False,
data/val_dataset/region2.png,False,
data/val_dataset/slonik.jpg,False,
data/val_dataset/web_low_90.jpg,False,
